,rate_loc,rate_mob,dispersion,frac_pos,frac_loc,prob_times_contacts,mobility,GoF,R,date
0,0.03153431066484955,0.15755495698909266,9.114022736826943,0.30757135234637367,0.35642729762911435,0.08847333207812563,3115583.0,582.6922961724213,0.7139504266864909,15-06-2020
1,0.03001479320576192,0.1485727928760247,4.674794454639237,0.29764544340005233,0.3563721246982379,0.08422317887847508,3145492.0,582.0154335181343,0.6813468006961783,16-06-2020
2,0.032827710412066856,0.11091198732716764,5.842644884594261,0.28123577490275603,0.44028375469158937,0.07456034900733974,3243835.0,577.2349560100517,0.6083631485814524,17-06-2020
3,0.023223636806670778,0.12384654843042729,2.321215829630731,0.29803392431208153,0.33871276124793726,0.0685643986990827,3156213.0,568.6090652948313,0.5517426963350724,18-06-2020
4,0.02620419365835639,0.09988570091265213,2.272389050074163,0.2972534212676461,0.4019420585015214,0.0651939579452027,3365183.0,563.3721582635096,0.5118847336590636,19-06-2020
5,0.03103526505630058,0.04394814029712095,2.7611147747875053,0.27050169817430647,0.5333239417263975,0.05819214670137966,5327222.0,526.0152261214192,0.4033166402181865,20-06-2020
6,0.03108983170845766,0.04916091712389725,1.922845403655058,0.2663884988797186,0.4845484284824154,0.06416248589605307,5799766.0,559.4568177991556,0.4195872775352438,21-06-2020
7,0.04158691442782393,0.10790997290471056,1.1475654879942785,0.23570441102456424,0.5202689751796575,0.0799334890447067,3063560.0,638.941656303837,0.6958147396763121,22-06-2020
8,0.029030483735854755,0.16645562692696286,0.8487412317268178,0.22561429451404502,0.3259127052797834,0.08907441552771996,3109797.0,640.5573548808808,0.7673725440452464,23-06-2020
9,0.0357799303082915,0.11082630334859198,0.8375393956538362,0.22694477987178652,0.4620599091824016,0.07743569523614979,3240363.0,592.2811119414196,0.6565015890333897,24-06-2020
10,0.03276728394708087,0.12043623534772913,0.9932159994487437,0.22731620135792346,0.426526903811004,0.07682348675852861,3153634.0,583.8305567645043,0.6589276903339869,25-06-2020
11,0.03138406845493511,0.08500592126350853,1.1518616188313269,0.23846568487040856,0.49297579965325794,0.06366249312239987,3273592.0,518.3042190394164,0.53499926465038,26-06-2020
12,0.032116514397942844,0.05712801176236427,1.7848011681209972,0.2143336435944443,0.49021709126106666,0.06551488099960817,5040081.0,519.607144794699,0.46234171208049013,27-06-2020
13,0.04560864263381788,0.039432086269253465,2.402796681584708,0.20407261308076602,0.6520412611180401,0.06994747932916667,5321223.0,518.9429721172063,0.5284688473547307,28-06-2020
14,0.03472471741846771,0.10830410079012527,2.3122924730989434,0.20884283490925332,0.46725035341601306,0.07431715602695499,3151583.0,516.5994546154208,0.6463620331624078,29-06-2020
15,0.04954969030030648,0.0746589185698472,4.526429535454362,0.19166180854665646,0.6420888837670377,0.07716951897626073,3189339.0,506.28448784423614,0.6770208258356382,30-06-2020
16,0.03533687893732904,0.11719921550625834,4.188184336405122,0.1837266070172409,0.4421297823871392,0.07992422212893871,3279807.0,486.63731391159246,0.6898037945816898,01-07-2020
17,0.022269002230220034,0.16223604044261888,2.3459403587983507,0.1925844850766416,0.26829074236526146,0.08300324503892925,3227362.0,502.97305652115716,0.7137946780311835,02-07-2020
18,0.01958280491088226,0.1696431046148667,1.6228286888605514,0.18833023910481617,0.22776682179747418,0.08597742531743675,3374101.0,507.52877041806295,0.7161470575951514,03-07-2020
19,0.013737497545791073,0.11572618392556526,1.9400846407638874,0.17888157031114613,0.17090449722958642,0.08038113547905446,4964648.0,471.36047370500427,0.49576504693897433,04-07-2020
20,0.0276278331929036,0.09209863306667607,1.3455820954189388,0.1847242620855228,0.33716459016448264,0.08194168070681923,5084155.0,481.1455512554623,0.5404574008109053,05-07-2020
21,0.047968348394085564,0.13965643772175124,0.8788091181682695,0.16335488024205422,0.495962734494738,0.09671764642348243,3009323.0,523.6404050740027,0.8831642127610985,06-07-2020
22,0.044313315813273024,0.1685306521034142,1.0173612081687822,0.1531194564552809,0.42597451627610977,0.10402809116531715,3054670.0,522.4431855178711,0.9513942070593957,07-07-2020
23,0.04581749652968173,0.1809826278287453,0.8590957459156763,0.14968697728339506,0.4099623696921401,0.11176024902990053,3141171.0,555.0895522706735,1.0080092748521265,08-07-2020
24,0.06050620572137246,0.16786434360638453,1.0619239630945827,0.1613951781153786,0.5034508941684398,0.12018293426871712,3064841.0,567.8408694883751,1.087660290889326,09-07-2020
25,0.06942776451349747,0.15692216035165332,1.0383716955805933,0.1461058898225863,0.5413428491694289,0.12825100510705748,3231663.0,579.4753629056947,1.137555407576006,10-07-2020
26,0.0651943653691506,0.12720022042525939,0.943459912589932,0.14335425331866455,0.4650540704721611,0.14018663529374106,5082648.0,613.2323391976556,1.0016460556355304,11-07-2020
27,0.06515468455131265,0.17459469767742752,0.6597445413002089,0.14592308740002063,0.38088762109313273,0.17106012625015543,5229361.0,645.4947382246828,1.1590334717626742,12-07-2020
28,0.0745953508809768,0.3453509446769325,0.7342625917778944,0.14444672357628555,0.3906802053630779,0.19093711392838997,2904266.0,688.4896809571055,1.8155959697047992,13-07-2020
29,0.05783677281893912,0.36594169306575486,0.8627234964138586,0.14376178413442744,0.3214432663893586,0.17992840064312451,2876308.0,662.1820812065902,1.7376803092853943,14-07-2020
30,0.10312311061140719,0.2566998070293492,1.0172791063603905,0.15227145881411175,0.531387773784179,0.19406376228236336,3054175.0,699.3570462570152,1.7635293550441278,15-07-2020
31,0.09267116874788894,0.32413549943963177,0.8678041126125298,0.1547851449533256,0.4562681744219321,0.20310679977909582,2937271.0,746.5388915722218,1.8929415769172726,16-07-2020
32,0.12556831506003507,0.2167595324787711,1.1628131757837976,0.1478890697690487,0.6206359958280574,0.20232199856938823,3052688.0,753.3096978757387,1.8310884033633226,17-07-2020
33,0.1071456769350417,0.1651680882295329,2.2550113294238834,0.14698220857450028,0.5323452854391826,0.20127101688643112,4912944.0,781.8788097436652,1.4966234927108524,18-07-2020
34,0.08648044766405674,0.15673612721273691,2.3460790148825295,0.14569570588859385,0.4829063141646176,0.17908328205163307,5093503.0,777.2210011972134,1.2867105832717751,19-07-2020
35,0.09042136021836346,0.2900084194940661,2.0902667685897276,0.14664490333774208,0.5034938888797269,0.17958780079645226,2650649.0,779.5611195547939,1.7665971960282256,20-07-2020
36,0.07074330011944216,0.3209565097131246,2.1843292714944615,0.14766304905283206,0.4157798948028804,0.17014603400431683,2670014.0,795.7761726254057,1.6955647008219688,21-07-2020
37,0.06235730038361563,0.31804664875804217,2.138399132765236,0.15526283900064422,0.38121719029769824,0.1635742090615585,2743618.0,816.5279067315846,1.604052114004312,22-07-2020
38,0.05728909903577231,0.3663553665315876,3.0792394524705036,0.15448659362279515,0.3367476325861557,0.1701247269232549,2655248.0,849.690563868363,1.7202626958251555,23-07-2020
39,0.06236758287806764,0.33462744601145494,2.802949633000649,0.15024129710858394,0.3688660828242289,0.16907920186250053,2749233.0,876.3673505044882,1.6642267632822807,24-07-2020
40,0.08779499635542284,0.16437508089607444,5.199367196815073,0.15524458018651105,0.49867797714831497,0.1760554914766392,4629049.0,877.6658428564596,1.3187554207950576,25-07-2020
41,0.0704236930773216,0.185772103025371,2.8579105225300263,0.15610589009202602,0.39200482799571384,0.1796500656315682,5068838.0,959.9711823253605,1.2358243244798208,26-07-2020
42,0.08735017352905683,0.4074293149299085,2.742374510463987,0.1481033666150293,0.4422598063238562,0.19750873192643784,2330920.0,1036.5413902049463,2.128827170286269,27-07-2020
43,0.10973684396668747,0.3491020483652965,2.452131978328561,0.15252773516280194,0.530459719882396,0.20687120973297715,2398733.0,1078.0376391177365,2.1263061029167756,28-07-2020
44,0.09747825921193232,0.3269624468941691,2.0931860727565117,0.15277314306277046,0.5073013248721361,0.1921506103625916,2496242.0,1097.3731805611108,1.9441861024878062,29-07-2020
45,0.08546705397056163,0.39719806056320905,2.293380951948582,0.16361986087018007,0.4357758406743154,0.19612618689074346,2401826.0,1126.1322288335705,2.057312753831459,30-07-2020
46,0.08693321027905013,0.3422109920686188,2.0693713984310156,0.17360283359756395,0.4735832150379493,0.18356480449182297,2434370.0,1117.2077873978078,1.8782735634449608,31-07-2020
47,0.07802963214857622,0.17854324227826956,2.305338595867923,0.19576422521676762,0.4529787257926993,0.17225893337932524,4549922.0,1103.7369901692339,1.2554580763089054,01-08-2020
48,0.0956061744548469,0.16128985257486889,2.8316227621435375,0.20260297504342772,0.5066703593663654,0.18869502169894167,4975675.0,1127.2771410217124,1.3526092122246332,02-08-2020
49,0.1008083678261458,0.3823698559850336,2.757481557705823,0.21103040380942517,0.5010487388881484,0.2011947341686649,2263354.0,1171.9247669633623,2.0811835901025093,03-08-2020
50,0.09728986523917077,0.4128472129091342,2.727443954219779,0.21909033450962592,0.4666370037896685,0.2084915350669942,2322113.0,1208.8714031546335,2.132608650169161,04-08-2020
51,0.1037143596938675,0.35865791968322047,2.771106105808565,0.22602604319761074,0.5066478478043569,0.2047069974605261,2427564.0,1216.7854514548574,2.0135690467115817,05-08-2020
52,0.10912378682648122,0.3224739147898097,2.4920639874295833,0.23949530078142656,0.5587294386641504,0.19530702926157253,2304038.0,1219.5850614512897,1.9353637970877215,06-08-2020
53,0.11018025330700776,0.32486653620474726,2.0893000786679505,0.24806384535838374,0.5503487710239753,0.20020078013803339,2388900.0,1262.0001518466072,1.9416429491903229,07-08-2020
54,0.13805744801364972,0.13231521960558895,2.341140046704945,0.2563392467939901,0.671585605836616,0.20556939698203788,4398780.0,1280.974577337092,1.61374221850785,08-08-2020
55,0.11775605401499716,0.10841751217618911,4.859027775642389,0.26735621435608875,0.6596758126331559,0.17850594452593793,4830671.0,1207.8135027302815,1.3592666697436961,09-08-2020
56,0.10545915986521073,0.22343850052906844,6.547351750725729,0.28389702173806275,0.6341071120476135,0.16631127117415467,2347897.0,1198.6118902861215,1.5693274518497369,10-08-2020
57,0.09188795082398618,0.23372912881428815,4.002614037620635,0.290845883487092,0.5884627658453436,0.15614913322848303,2370267.0,1220.46412544959,1.4717417937688797,11-08-2020
58,0.08272745417435659,0.20973201295521632,4.1394847928365754,0.3028219376159617,0.5762497128365262,0.1435618141432813,2500608.0,1190.0497572500688,1.3136552076412487,12-08-2020
59,0.0719811125713109,0.20422653179469977,9.326909407158782,0.31994821383131006,0.5552194294589035,0.12964444101219774,2434159.0,1135.3073082345031,1.1897846436254882,13-08-2020
60,0.06233812189711316,0.20065370200353672,10.23713185091772,0.32628789639724753,0.5084813607464287,0.12259667061463862,2589005.0,1109.2608008712605,1.0895157883641131,14-08-2020
61,0.054384579402968945,0.11872584959520281,8.785470884675247,0.3420794426660739,0.46172739290947945,0.11778503991343418,4603716.0,1095.0044896116922,0.7932525545853408,15-08-2020
62,0.055298345452598596,0.12149648880608771,9.13829386395248,0.33786976646715294,0.44531111007345797,0.12417912825816686,4887601.0,1129.1219996465481,0.8104372046627488,16-08-2020
63,0.055369443495109444,0.27734447421593067,7.1450360746676225,0.3412368497990112,0.3952881432048678,0.14007362590284644,2632975.0,1186.987092572345,1.2159272681690387,17-08-2020
64,0.06838119558925863,0.19858931608595065,8.048131153679767,0.3478003791011323,0.5183994459139708,0.1319083114926913,2757812.0,1158.1964558682532,1.1212623615620279,18-08-2020
65,0.0633629482901743,0.23014544732654363,6.7413560675196,0.3588031421749607,0.45504014631034717,0.13924694074566205,2842557.0,1163.487974541498,1.1483782533226212,19-08-2020
66,0.054516206577222406,0.22968535305326865,8.007475837672814,0.38652675561016137,0.4253060145864322,0.12818113242586987,2764960.0,1094.337485286065,1.0440105289481258,20-08-2020
67,0.0595321919636564,0.18686889010121993,10.488442617083493,0.3938520823378581,0.4860601420254848,0.1224790654826724,2904013.0,1067.9240957773975,0.9792618784467987,21-08-2020
68,0.05595727710622837,0.13338555204865493,10.648983446059495,0.39393755343936,0.43471562297061117,0.12872156911188662,4702956.0,1077.8580249082586,0.8188057624332739,22-08-2020
69,0.05674342708385202,0.11244394400220165,12.28773550270959,0.4026727914369525,0.466396893248841,0.12166338992652162,4977412.0,1035.5863730796846,0.7717226321963485,23-08-2020
70,0.05476640383963788,0.2195800239632481,13.722123409229805,0.42077569392927594,0.42537721329663497,0.12874785514532666,2904634.0,1047.5551595994898,0.9924028393720047,24-08-2020
71,0.05470170737207989,0.20864696044855058,10.748131105043988,0.3857459007940884,0.4354184733851804,0.12563019420558577,2930691.0,1066.157885478171,0.9947022053003214,25-08-2020
72,0.06113339255959965,0.1862589958938351,13.931427773736015,0.37832587425982456,0.4825340749844593,0.12669238449443915,3034425.0,1085.761693898031,1.0026470773079117,26-08-2020
73,0.0661310798185714,0.15867397440411135,9.086617524941174,0.35171517028392096,0.5401671998995421,0.12242705560587568,3058673.0,1120.1322742664083,0.9949821830580717,27-08-2020
74,0.07217338713363936,0.1380001656043491,9.69726829386768,0.331723456276871,0.5878262876341385,0.12278012850381384,3161478.0,1127.7693963642255,1.0057523631174667,28-08-2020
75,0.06885748010549728,0.1010708086193925,7.972626329829527,0.30961306414536083,0.551764710131076,0.12479500562683621,4771324.0,1199.2051779619853,0.8866504196784062,29-08-2020
76,0.052872489163173726,0.14337105765709457,4.817802032591891,0.26677017017570576,0.3917344577771904,0.1349702282081256,4936636.0,1322.041789589691,0.882210611266292,30-08-2020
77,0.0670692023403982,0.23947095629762516,4.577458859131892,0.24021727842936708,0.43923605396278165,0.15269512084743678,3082576.0,1455.701819971525,1.3078789153976453,31-08-2020
78,0.0746239434305121,0.23043042130353553,4.551822554621861,0.21538031317460968,0.4713784703299434,0.15831003774584518,3130941.0,1529.819388579163,1.3668810399836957,01-09-2020
79,0.07234005869335436,0.2382240017371618,4.898423791988728,0.20802652643905087,0.44635691544554285,0.16206774486992373,3247150.0,1587.3139844052557,1.3762488644574853,02-09-2020
80,0.08612623007827118,0.2244916425629439,5.531919576653008,0.1875457044442944,0.5138688649289931,0.1676035190226444,3128944.0,1656.9696835015927,1.4691119976076603,03-09-2020
81,0.08003339624774419,0.25024378117564927,4.333643915456518,0.17394723843017956,0.4543013900672984,0.17616806375144123,3311907.0,1785.7284719607212,1.5072307208996985,04-09-2020
82,0.09029183623847209,0.16491305233376874,4.305365504025243,0.1576785414096622,0.49961813736808264,0.18072169420052814,4727355.0,1857.4174766330648,1.328661394418211,05-09-2020
83,0.09695029226492374,0.15597476578328978,4.535466415274641,0.15058221606871638,0.522020234418004,0.1857213300802656,4906574.0,1933.3096110418082,1.359416478638303,06-09-2020
84,0.1098234258846596,0.2373506184816574,4.253419024493949,0.1463714793120734,0.5615653265812193,0.19556660763451858,3114373.0,2004.229848415735,1.7411064594838268,07-09-2020
85,0.09709357674399358,0.2687674316256281,3.6176702145085056,0.13548626056191215,0.4992149059631224,0.19449254336000535,3124202.0,2073.4070961803814,1.739745234575692,08-09-2020
86,0.1067520812548048,0.23228995031765215,4.247083098997688,0.14065591727548796,0.5463642837179254,0.1953862732907305,3289518.0,2099.640620412253,1.698709718455039,09-09-2020
87,0.10697715013395598,0.2705764839677729,4.161337216571651,0.12787740411806897,0.5125907766648509,0.20869893685953161,3241047.0,2241.6023763195376,1.8333190138467668,10-09-2020
88,0.09307845932307549,0.27147004393455476,4.046309381252404,0.12647340061641008,0.4633203247013346,0.20089440147715448,3423911.0,2297.629221272737,1.715578004494029,11-09-2020
89,0.09442124760510084,0.21128763334497797,3.726091898548031,0.1218954159884619,0.44640128378426996,0.21151652343977423,4777786.0,2378.3054672867684,1.5255438942723942,12-09-2020
90,0.11457502548439258,0.19140696848370764,3.5523689090029187,0.11597878287533187,0.5100467964444307,0.2246363005965384,4957220.0,2468.68383700163,1.6320490480391916,13-09-2020
91,0.12425154062079516,0.26692338281142214,4.254171964330151,0.11379587199286033,0.5400443811895617,0.2300765362044966,3417929.0,2498.567630417229,1.9688758045277894,14-09-2020
92,0.14706524347945948,0.24355243177161306,4.632025150789249,0.11024580441385595,0.6057080675825536,0.2427988850576364,3388703.0,2566.395151915829,2.0839584534141276,15-09-2020
93,0.1388776279681748,0.23782271973369867,5.225029211637746,0.1152192101441859,0.590623865079541,0.23513717643202878,3489409.0,2569.558765603297,1.9921339608230286,16-09-2020
94,0.14084998669842905,0.2388566943510258,5.357004511304352,0.11559357557454852,0.5973296416272494,0.2357994261170843,3427018.0,2620.775102704314,2.0103321046222105,17-09-2020
95,0.13941394798807705,0.20857427339072837,5.39822752167975,0.12144329267856468,0.6177015222923277,0.2256979187467492,3566406.0,2604.5653880737564,1.8942019735754638,18-09-2020
96,0.1359994936362514,0.16440998854703237,6.8718257961784985,0.12106679897682504,0.5984691541385877,0.2272456194204421,4784622.0,2603.378315625377,1.7155053318030262,19-09-2020
97,0.14796327049082889,0.13322583976879682,7.126643517882247,0.1251531601413519,0.6590561658605731,0.22450783128266993,4953216.0,2611.1446377104894,1.713097496264664,20-09-2020
98,0.14250042425479842,0.22972737777032676,7.056114664140521,0.12616546741774753,0.6107795240927141,0.2333091052233234,3407815.0,2692.2501339689225,1.9840051305571298,21-09-2020
