,rate_loc,rate_mob,frac_pos,frac_loc,prob_times_contacts,mobility,GoF,R,date
0,0.037054841801374416,0.14632039357843868,0.30757135234637367,0.4120235876921082,0.08993378755068822,3115583.0,585.6426744650732,0.7323024596689115,15-06-2020
1,0.03782903657142023,0.1331900318122458,0.29764544340005233,0.43771014878387055,0.08642485598408911,3145492.0,589.6849151174368,0.708137347163461,16-06-2020
2,0.03907319992780692,0.09955972835421541,0.28123577490275603,0.5105315711602085,0.07653434603272648,3243835.0,580.6931234729602,0.6316509113081908,17-06-2020
3,0.03409927324275493,0.09314679338684055,0.29803392431208153,0.4999840592363592,0.06820072082865158,3156213.0,590.5426265007925,0.563198306182424,18-06-2020
4,0.032067380067637666,0.08274826447738635,0.2972534212676461,0.49819092267844817,0.06436765225514798,3365183.0,581.5911602021815,0.5163751968522191,19-06-2020
5,0.03696684129652563,0.03708726498443879,0.27050169817430647,0.6173056157105519,0.059884181118253416,5327222.0,540.6351380549377,0.4363113482488194,20-06-2020
6,0.03827722579192595,0.04062880194758468,0.2663884988797186,0.5834057110888414,0.06560996072610793,5799766.0,591.1424519280541,0.4587873633168614,21-06-2020
7,0.04860009016854748,0.08465314263843512,0.23570441102456424,0.6176759084239666,0.0786821851163877,3063560.0,712.0315717528837,0.6878597058977729,22-06-2020
8,0.0441132197604385,0.12173900271834083,0.22561429451404502,0.5011330861448379,0.08802695527409032,3109797.0,747.6713987720299,0.7644781130419935,23-06-2020
9,0.04192629070952543,0.09453377837315183,0.22694477987178652,0.5412759143050515,0.07745826038344036,3240363.0,685.5481374522511,0.661320736912556,24-06-2020
10,0.03930162034928803,0.10141129996627544,0.22731620135792346,0.514429870363001,0.0763984026074445,3153634.0,653.0695791374471,0.6588693445276896,25-06-2020
11,0.03913519289111718,0.07865462069399623,0.23846568487040856,0.567161062474011,0.06900190348118349,3273592.0,575.0793722826337,0.584770745441457,26-06-2020
12,0.04444994759029207,0.046847067013268164,0.2143336435944443,0.61875400306365,0.07183783437392903,5040081.0,553.6462161192964,0.539948302235485,27-06-2020
13,0.05192210967041312,0.03560574339171575,0.20407261308076602,0.7026072313019524,0.0738991962468133,5321223.0,538.4824599726752,0.5724923516066031,28-06-2020
14,0.041297421084891595,0.09908336209853562,0.20884283490925332,0.5327389364744449,0.07751905906894906,3151583.0,539.4377005576962,0.6758824787650568,29-06-2020
15,0.05344420831694153,0.07265331471626246,0.19166180854665646,0.6653738897948919,0.0803220702474758,3189339.0,511.27457138048413,0.7051495752574359,30-06-2020
16,0.043522206749767145,0.11514427985530325,0.1837266070172409,0.49837763271063296,0.08732776893106863,3279807.0,493.245206675228,0.7556791066098125,01-07-2020
17,0.03225524807020415,0.15201533907659304,0.1925844850766416,0.3617547711412881,0.08916329691642529,3227362.0,533.9514010728803,0.7697423079911491,02-07-2020
18,0.028196793310344415,0.1576835884153841,0.18833023910481617,0.31360880593949925,0.08991071926655045,3374101.0,533.1475214319088,0.7541839993222922,03-07-2020
19,0.027697246082279935,0.10165283257804694,0.17888157031114613,0.3211780806083368,0.0862364144832647,4964648.0,492.7208100974378,0.573803070216816,04-07-2020
20,0.043082120865583426,0.08356178343296027,0.1847242620855228,0.466451155823738,0.09236148378601777,5084155.0,515.6660373258943,0.6498973048572739,05-07-2020
21,0.0689454330447917,0.12759729762268762,0.16335488024205422,0.607527451326411,0.11348529666316075,3009323.0,596.1777379993084,1.0288897330467524,06-07-2020
22,0.07120130852694284,0.18166273442908254,0.1531194564552809,0.5252029968814501,0.13556912079657182,3054670.0,672.0679667619762,1.2323561903128941,07-07-2020
23,0.07895296913171,0.19676147452211856,0.14968697728339506,0.5240998634910804,0.15064489543232573,3141171.0,757.8746846443335,1.352954769321007,08-07-2020
24,0.08852487709154944,0.19326668764391786,0.1613951781153786,0.5630197259390375,0.15723228336965003,3064841.0,746.9738269814679,1.4188884708804044,09-07-2020
25,0.1103720989762224,0.15945794277940867,0.1461058898225863,0.6486909372677612,0.17014589326791216,3231663.0,811.5094209783321,1.507109144948001,10-07-2020
26,0.12100552178919316,0.07949415832757946,0.14335425331866455,0.7208194497844413,0.167872165249397,5082648.0,817.2690034129536,1.3337695926614601,11-07-2020
27,0.12402625715360036,0.11002297924831503,0.14592308740002063,0.6501559301576633,0.19076386356042913,5229361.0,957.7047918091196,1.462066519996015,12-07-2020
28,0.11624912768533546,0.2824688287523268,0.14444672357628555,0.5498826029466795,0.21140717502678988,2904266.0,972.6217248523515,1.9717960368691203,13-07-2020
29,0.09811784692937314,0.3438753455678464,0.14376178413442744,0.4609775826079636,0.21284732844116855,2876308.0,905.0053070516009,2.0185238355761075,14-07-2020
30,0.11243388429908802,0.2623527091804936,0.15227145881411175,0.5474507134848747,0.20537718104954922,3054175.0,915.1377376862796,1.8644698668970667,15-07-2020
31,0.12590112603945167,0.24588263278356765,0.1547851449533256,0.6004574167790654,0.20967536168476741,2937271.0,1021.2018985394536,1.9265854883527425,16-07-2020
32,0.14119372347234715,0.20221078745832188,0.1478890697690487,0.6635175770556435,0.2127957545584455,3052688.0,996.6960149149921,1.920275335392739,17-07-2020
33,0.13887355878367041,0.13923878299188786,0.14698220857450028,0.6363854190939779,0.21822240833453527,4912944.0,926.8884556765348,1.6897275154587295,18-07-2020
34,0.12072987495410406,0.1394832818365283,0.14569570588859385,0.5943203762351773,0.2031393837089817,5093503.0,927.8095889762399,1.5308466753290793,19-07-2020
35,0.12160330648377257,0.2516397062428877,0.14664490333774208,0.6111552955484506,0.19897284269564547,2650649.0,950.6288682949514,1.913049558247586,20-07-2020
36,0.11833253240787862,0.2417815140852936,0.14766304905283206,0.6124423637236315,0.19321415273825984,2670014.0,1010.5002164678434,1.8504197293372744,21-07-2020
37,0.10842804666583747,0.2486587244210286,0.15526283900064422,0.578090027733936,0.18756256199551866,2743618.0,1043.8108458807476,1.7804196143815967,22-07-2020
38,0.1265355412752424,0.2364836964346485,0.15448659362279515,0.6346726674808418,0.19937134173036056,2655248.0,1035.7788280723478,1.9001672385639823,23-07-2020
39,0.14270777626853862,0.20544665941512413,0.15024129710858394,0.6853568143447759,0.20822405684398432,2749233.0,1100.7533443519446,1.9420161102586995,24-07-2020
40,0.15494115476030842,0.10484099922236034,0.15524458018651105,0.7335010587570673,0.211235079909577,4629049.0,1017.0388289109538,1.714053640126437,25-07-2020
41,0.1513498855382202,0.11823335189372278,0.15610589009202602,0.685255848353167,0.22086624419470482,5068838.0,1141.8374915869874,1.7262354379672853,26-07-2020
42,0.17789182003788373,0.23931645687983016,0.1481033666150293,0.7332814350036991,0.24259692329042304,2330920.0,1274.4878262077423,2.3653527107872883,27-07-2020
43,0.19187244713047724,0.21102006091378694,0.15252773516280194,0.7656925643605801,0.2505867969224795,2398733.0,1385.4980523989336,2.391654681140423,28-07-2020
44,0.19292360856884386,0.18830092589480923,0.15277314306277046,0.779658308872726,0.2474463574277605,2496242.0,1541.4562797213223,2.3250400637933377,29-07-2020
45,0.19443439637465754,0.2006961858548535,0.16361986087018007,0.7766557690196156,0.2503482290746324,2401826.0,1537.7142750976257,2.3738738609621595,30-07-2020
46,0.17958046174140632,0.17843608027405877,0.17360283359756395,0.780899280986226,0.2299662275455135,2434370.0,1496.3118047795751,2.164933443054655,31-07-2020
47,0.1598271756852045,0.09514614969026276,0.19576422521676762,0.7609288389840387,0.2100422109097603,4549922.0,1402.0772159079042,1.7155642836196916,01-08-2020
48,0.16059169009327873,0.09986320711672285,0.20260297504342772,0.7358895058849151,0.21822799320961303,4975675.0,1402.4266818158953,1.7352736185399675,02-08-2020
49,0.14993927522655787,0.2746806436253906,0.21103040380942517,0.6752403208398823,0.22205320179941168,2263354.0,1434.9199942454509,2.1815247816253707,03-08-2020
50,0.15058036155615662,0.27394536670967645,0.21909033450962592,0.671130015323064,0.2243683908008067,2322113.0,1474.1843493995802,2.1771796387068,04-08-2020
51,0.1453140680717403,0.23693719774395244,0.22602604319761074,0.6853402885286028,0.2120319941845584,2427564.0,1433.5356383282153,2.0107976513323056,05-08-2020
52,0.13994412489311991,0.220779195995899,0.23949530078142656,0.7034178058982357,0.19894879503997914,2304038.0,1410.7647702625507,1.9035535000316903,06-08-2020
53,0.1507083608210083,0.1984165851026767,0.24806384535838374,0.7326980023725529,0.20568960244602666,2388900.0,1505.83744099613,1.9259293361008294,07-08-2020
54,0.15734205982502314,0.09426722770120233,0.2563392467939901,0.7658763004130129,0.2054405649321875,4398780.0,1478.7850316878487,1.6733373890144314,08-08-2020
55,0.12696727156639098,0.09181041598320006,0.26735621435608875,0.7116534359281419,0.17841166100856332,4830671.0,1270.3368908577963,1.393047478671673,09-08-2020
56,0.1114459277733742,0.1956685410069674,0.28389702173806275,0.6765161445227192,0.16473506016918352,2347897.0,1241.5658935402146,1.543913086847243,10-08-2020
57,0.09294527730857835,0.21520450293743343,0.290845883487092,0.6110265383685245,0.15211332319009827,2370267.0,1311.113608756636,1.4291998413125901,11-08-2020
58,0.08862085440312056,0.19297305871482195,0.3028219376159617,0.6128937634340321,0.14459415267432255,2500608.0,1286.1518235819708,1.3198290406139823,12-08-2020
59,0.08247405753426704,0.17357885047499189,0.31994821383131006,0.6272553785591384,0.1314840180784377,2434159.0,1158.2382484105715,1.2006250661970301,13-08-2020
60,0.0649137720943943,0.18739727872814793,0.32628789639724753,0.5356307657063717,0.12119126878156117,2589005.0,1126.1760196034131,1.07707584763253,14-08-2020
61,0.06121522173285488,0.10492429416626678,0.3420794426660739,0.5221112500003526,0.11724555204051539,4603716.0,1125.9786659527297,0.8180845564709318,15-08-2020
62,0.0645613507879898,0.10289330668165333,0.33786976646715294,0.5253361543729673,0.12289531236442156,4887601.0,1154.9797410569224,0.844089818081968,16-08-2020
63,0.06722371005767866,0.22552438165211658,0.3412368497990112,0.4939235694479175,0.1361014420365035,2632975.0,1217.3049217963912,1.1862353968531598,17-08-2020
64,0.07183847645093935,0.17029787809005908,0.3478003791011323,0.5687230696884271,0.1263153901780278,2757812.0,1177.336030519868,1.0789671084581953,18-08-2020
65,0.06762798190116914,0.19594958007335622,0.3588031421749607,0.5114155606135873,0.1322368482883671,2842557.0,1203.0769320329211,1.0994964719794322,19-08-2020
66,0.06581330774506595,0.17988244192332795,0.38652675561016137,0.5328780117779084,0.12350539202299732,2764960.0,1124.889086904983,1.0235306965078594,20-08-2020
67,0.06740830678871151,0.159143541714875,0.3938520823378581,0.5570203245045892,0.12101588366396522,2904013.0,1084.7188684855396,0.9828029967242266,21-08-2020
68,0.06999473960138863,0.10792807446094219,0.39393755343936,0.5431358880750017,0.1288715055259303,4702956.0,1099.4415871032309,0.8826905814470296,22-08-2020
69,0.06377678405260673,0.10355264980986234,0.4026727914369525,0.5161465617596561,0.12356332247022585,4977412.0,1049.637699037428,0.8133271593953864,23-08-2020
70,0.06797609767798948,0.18315382157464336,0.42077569392927594,0.5241641907047925,0.12968474169627775,2904634.0,1064.561776124201,1.026444871614877,24-08-2020
71,0.0707291503681336,0.16786495559208553,0.3857459007940884,0.5534622182362088,0.12779399936916297,2930691.0,1091.0141363931295,1.0381441201569728,25-08-2020
72,0.07545163862640053,0.15148031667165912,0.37832587425982456,0.5859442417983461,0.12876931496899557,3034425.0,1100.5927531041057,1.0444524129958184,26-08-2020
73,0.08758146049454814,0.11024616290815174,0.35171517028392096,0.6912740158935906,0.12669572192921794,3058673.0,1160.2433549367463,1.0615189992941327,27-08-2020
74,0.09660525314975524,0.08771280803019178,0.331723456276871,0.7502105011724082,0.12877086230968937,3161478.0,1186.3627068593546,1.0900252887574078,28-08-2020
75,0.09519307665643276,0.06834027157630773,0.30961306414536083,0.7156517382230749,0.13301592320978928,4771324.0,1268.737013744562,1.031248592268306,29-08-2020
76,0.10528347145766016,0.08539210913702847,0.26677017017570576,0.6828560586604272,0.1541810607409663,4936636.0,1498.884528461264,1.1789212132557172,30-08-2020
77,0.11970288532669641,0.14903349987638626,0.24021727842936708,0.69195727525207,0.1729917288362788,3082576.0,1656.2405971319843,1.5029165656452228,31-08-2020
78,0.1231470788779546,0.15056006943254024,0.21538031317460968,0.6925128290671522,0.17782642242720556,3130941.0,1744.0182095172618,1.5489927000089503,01-09-2020
79,0.12215602886164544,0.16280258906073833,0.20802652643905087,0.6657873451144164,0.18347604495344194,3247150.0,1877.3203132724598,1.5810677530958426,02-09-2020
80,0.12040313973557161,0.17781360501889099,0.1875457044442944,0.6510423061477608,0.18493904097876684,3128944.0,1891.164429906802,1.6221198659241534,03-09-2020
81,0.13719454932754116,0.17702206884132426,0.17394723843017956,0.6685892053814765,0.20520006638345614,3311907.0,2183.3034230084477,1.7726354037517855,04-09-2020
82,0.1289850928832309,0.1348167446942532,0.1576785414096622,0.6356711111985784,0.20291167965777984,4727355.0,2275.725225928067,1.568526855782626,05-09-2020
83,0.14254049085895512,0.11507022245437817,0.15058221606871638,0.6851879365984086,0.20803123237486107,4906574.0,2380.809445829942,1.6228618127685441,06-09-2020
84,0.15047057193441984,0.1691841853191721,0.1463714793120734,0.7111470378039452,0.21158855192462012,3114373.0,2560.915529059252,1.8701732027055582,07-09-2020
85,0.14940374113328253,0.1548073884943727,0.13548626056191215,0.727009284391034,0.2055045847982916,3124202.0,2736.6442092997363,1.814255865558692,08-09-2020
86,0.15407379011390718,0.13569224693113913,0.14065591727548796,0.7484779137524872,0.20584948103740247,3289518.0,2757.8479689519513,1.789968338384223,09-09-2020
87,0.1516748521572296,0.1601441859867913,0.12787740411806897,0.7158519222722091,0.2118802051628128,3241047.0,2918.4022942872366,1.8503623778933147,10-09-2020
88,0.1421761416290243,0.15692858017267963,0.12647340061641008,0.6952335715358174,0.20450126036771743,3423911.0,3052.4756631822097,1.7562343188561773,11-09-2020
89,0.14474539886353083,0.12099981617168015,0.1218954159884619,0.6833953654929527,0.21180330767845026,4777786.0,3274.7379913986088,1.656853449665045,12-09-2020
90,0.15337282508611655,0.11618927583098387,0.11597878287533187,0.6965696729980461,0.2201830355691451,4957220.0,3481.278281204955,1.7130848605880407,13-09-2020
91,0.15792793232698332,0.1906584308925991,0.11379587199286033,0.6763023228136604,0.23351676757510817,3417929.0,3685.8850722646994,2.000936225100701,14-09-2020
92,0.1657991346465127,0.1865480565129834,0.11024580441385595,0.6933548323739932,0.23912595240568138,3388703.0,3727.054733618147,2.0521900615673903,15-09-2020
93,0.15451695265137882,0.17612368866513378,0.1152192101441859,0.6842979729732851,0.2258036100560116,3489409.0,3655.785818467088,1.9189809131819895,16-09-2020
94,0.15281793449554187,0.1754679215424398,0.11559357557454852,0.6866083234904016,0.22256930081867582,3427018.0,3757.243814159594,1.9002115727862583,17-09-2020
95,0.154414684558287,0.1444199934136119,0.12144329267856468,0.7210281759300782,0.21415901585136027,3566406.0,3799.9778651930237,1.809057938008724,18-09-2020
96,0.1641667532399877,0.10343306677619671,0.12106679897682504,0.7409209472369653,0.22157121330176538,4784622.0,3686.8786062276818,1.7550754941450335,19-09-2020
97,0.16014781222562302,0.09256375050754267,0.1251531601413519,0.7507043354076384,0.2133300750669856,4953216.0,3552.505922517534,1.683915927177688,20-09-2020
98,0.1504398146562741,0.17269868615083342,0.12616546741774753,0.687864209528669,0.21870568721602315,3407815.0,3732.784222931938,1.8630661539064044,21-09-2020
